# 1-d slice in y-direction, file: plt_2d_000400
# time =       0.594868597708E-02
#                       y                  density      CH4_ConsumptionRate                   Y(CH4)               x_velocity                     temp  
       0.513671875000E-02        1.14395516282          -0.438713348623E-12       0.392668081391E-01       0.149735255845E-14        298.000000000      
       0.517578125000E-02        1.14395516265          -0.136979651920E-12       0.392668081389E-01       0.112698683610E-14        298.000000000      
       0.521484375000E-02        1.14395516267           0.840607862279E-13       0.392668081387E-01       0.705137693217E-15        298.000000000      
       0.525390625000E-02        1.14395516252           0.145998011028E-12       0.392668081385E-01       0.261536754541E-15        298.000000000      
       0.529296875000E-02        1.14395516256           0.220273276034E-12       0.392668081384E-01      -0.154342451480E-15        298.000000000      
       0.533203125000E-02        1.14395516243           0.295981569187E-12       0.392668081383E-01      -0.556722912382E-15        298.000000000      
       0.537109375000E-02        1.14395516248           0.175600111156E-12       0.392668081382E-01      -0.970041288399E-15        298.000000000      
       0.541015625000E-02        1.14395516236          -0.151719978540E-12       0.392668081381E-01      -0.136459948992E-14        298.000000000      
       0.544921875000E-02        1.14395516242           0.390124096111E-12       0.392668081380E-01      -0.175795866885E-14        298.000000000      
       0.548828125000E-02        1.14395516231           0.743065944184E-13       0.392668081379E-01      -0.214157795196E-14        298.000000000      
       0.552734375000E-02        1.14395516238           0.102428207643E-12       0.392668081379E-01      -0.248317211773E-14        298.000000000      
       0.556640625000E-02        1.14395516227           0.275153919418E-12       0.392668081378E-01      -0.281653457088E-14        298.000000000      
       0.560546875000E-02        1.14395516234          -0.466140287707E-12       0.392668081378E-01      -0.309101144877E-14        298.000000000      
       0.564453125000E-02        1.14395516224           0.146897621170E-12       0.392668081378E-01      -0.334687131263E-14        298.000000000      
       0.568359375000E-02        1.14395516232           0.262587224597E-12       0.392668081377E-01      -0.358475221484E-14        298.000000000      
       0.572265625000E-02        1.14395516222           0.969757845203E-13       0.392668081377E-01      -0.378325018295E-14        298.000000000      
       0.576171875000E-02        1.14395516230           0.355474433629E-12       0.392668081377E-01      -0.397270026507E-14        298.000000000      
       0.580078125000E-02        1.14395516221           0.186158006154E-12       0.392668081377E-01      -0.410438383936E-14        298.000000000      
       0.583984375000E-02        1.14395516229          -0.145889902090E-12       0.392668081376E-01      -0.419994339735E-14        298.000000000      
       0.587890625000E-02        1.14395516220           0.214647597222E-12       0.392668081376E-01      -0.431803167373E-14        298.000000000      
       0.591796875000E-02        1.14395516228           0.370240878086E-12       0.392668081376E-01      -0.436381205070E-14        298.000000000      
       0.595703125000E-02        1.14395516219           0.238289068631E-12       0.392668081376E-01      -0.441723468878E-14        298.000000000      
       0.599609375000E-02        1.14395516228           0.207833397730E-12       0.392668081376E-01      -0.445526167663E-14        298.000000000      
       0.603515625000E-02        1.14395516219          -0.359097486635E-12       0.392668081376E-01      -0.446570786152E-14        298.000000000      
       0.607421875000E-02        1.14395516227          -0.870304166583E-13       0.392668081376E-01      -0.446211515669E-14        298.000000000      
       0.611328125000E-02        1.14395516218           0.819576892680E-13       0.392668081376E-01      -0.441988117564E-14        298.000000000      
       0.615234375000E-02        1.14395516227          -0.263156113184E-12       0.392668081376E-01      -0.437098108649E-14        298.000000000      
       0.619140625000E-02        1.14395516218          -0.449784263598E-13       0.392668081376E-01      -0.431895649691E-14        298.000000000      
       0.623046875000E-02        1.14395516227          -0.690134248507E-13       0.392668081376E-01      -0.426527697444E-14        298.000000000      
       0.626953125000E-02        1.14395516218          -0.110070428495E-12       0.392668081376E-01      -0.419094989463E-14        298.000000000      
       0.630859375000E-02        1.14395516227           0.321786008842E-12       0.392668081376E-01      -0.409953301167E-14        298.000000000      
       0.634765625000E-02        1.14395516218          -0.145817845995E-12       0.392668081376E-01      -0.401144287007E-14        298.000000000      
       0.638671875000E-02        1.14395516226           0.448538283614E-13       0.392668081376E-01      -0.392534247094E-14        298.000000000      
       0.642578125000E-02        1.14395516218           0.104604214740E-12       0.392668081376E-01      -0.379781740618E-14        298.000000000      
       0.646484375000E-02        1.14395516226           0.694088168538E-13       0.392668081376E-01      -0.369201567006E-14        298.000000000      
       0.650390625000E-02        1.14395516218           0.299110848634E-13       0.392668081376E-01      -0.359570544180E-14        298.000000000      
       0.654296875000E-02        1.14395516226           0.112760310801E-12       0.392668081376E-01      -0.347983727254E-14        298.000000000      
       0.658203125000E-02        1.14395516218           0.329360169608E-12       0.392668081376E-01      -0.338248745393E-14        298.000000000      
       0.662109375000E-02        1.14395516226          -0.588380298213E-13       0.392668081376E-01      -0.330288632109E-14        298.000000000      
       0.666015625000E-02        1.14395516218           0.284550013371E-12       0.392668081376E-01      -0.322627802474E-14        298.000000000      
       0.669921875000E-02        1.14395516226           0.199412860727E-12       0.392668081376E-01      -0.314236202652E-14        298.000000000      
       0.673828125000E-02        1.14395516218           0.482771102983E-12       0.392668081376E-01      -0.308926732498E-14        298.000000000      
       0.677734375000E-02        1.14395516226          -0.222651799859E-12       0.392668081376E-01      -0.304277212656E-14        298.000000000      
       0.681640625000E-02        1.14395516218          -0.239323313859E-13       0.392668081376E-01      -0.300400949555E-14        298.000000000      
       0.685546875000E-02        1.14395516226          -0.156216716462E-12       0.392668081376E-01      -0.301887210209E-14        298.000000000      
       0.689453125000E-02        1.14395516218          -0.387024302356E-12       0.392668081376E-01      -0.306328187796E-14        298.000000000      
       0.693359375000E-02        1.14395516226           0.154026202240E-12       0.392668081375E-01      -0.309997389215E-14        298.000000000      
       0.697265625000E-02        1.14395516218          -0.335246558179E-13       0.392668081375E-01      -0.313708310031E-14        298.000000000      
       0.701171875000E-02        1.14395516226           0.176327887105E-12       0.392668081375E-01      -0.321873063686E-14        298.000000000      
       0.705078125000E-02        1.14395516217          -0.217328953953E-12       0.392668081375E-01      -0.331145010919E-14        298.000000000      
       0.708984375000E-02        1.14395516225           0.237870334038E-12       0.392668081375E-01      -0.341603979259E-14        298.000000000      
       0.712890625000E-02        1.14395516217          -0.192667453633E-12       0.392668081375E-01      -0.354617311922E-14        298.000000000      
       0.716796875000E-02        1.14395516225          -0.148141176070E-12       0.392668081375E-01      -0.366566562881E-14        298.000000000      
       0.720703125000E-02        1.14395516217           0.101404237487E-12       0.392668081375E-01      -0.379560134063E-14        298.000000000      
       0.724609375000E-02        1.14395516224           0.637981533060E-13       0.392668081375E-01      -0.392316759679E-14        298.000000000      
       0.728515625000E-02        1.14395516216          -0.208520651932E-12       0.392668081375E-01      -0.404979795070E-14        298.000000000      
       0.732421875000E-02        1.14395516223           0.452534891652E-12       0.392668081375E-01      -0.417214870009E-14        298.000000000      
       0.736328125000E-02        1.14395516215           0.346409805370E-13       0.392668081375E-01      -0.428670593258E-14        298.000000000      
       0.740234375000E-02        1.14395516222          -0.171165432371E-12       0.392668081374E-01      -0.439542506478E-14        298.000000000      
       0.744140625000E-02        1.14395516213           0.145896698684E-12       0.392668081374E-01      -0.445991192124E-14        298.000000000      
       0.748046875000E-02        1.14395516220           0.106080635691E-12       0.392668081374E-01      -0.451608526285E-14        298.000000000      
       0.751953125000E-02        1.14395516211           0.179244792327E-12       0.392668081374E-01      -0.453928351103E-14        298.000000000      
       0.755859375000E-02        1.14395516217          -0.131904447221E-12       0.392668081373E-01      -0.451107565651E-14        298.000000000      
       0.759765625000E-02        1.14395516208          -0.426180498721E-13       0.392668081373E-01      -0.447802336093E-14        298.000000000      
       0.763671875000E-02        1.14395516214          -0.844780537540E-13       0.392668081372E-01      -0.443656621179E-14        298.000000000      
       0.767578125000E-02        1.14395516204          -0.325772877275E-12       0.392668081372E-01      -0.433024939598E-14        298.000000000      
       0.771484375000E-02        1.14395516209          -0.172341427826E-12       0.392668081371E-01      -0.419798946743E-14        298.000000000      
       0.775390625000E-02        1.14395516199           0.163385665952E-12       0.392668081370E-01      -0.408932810478E-14        298.000000000      
       0.779296875000E-02        1.14395516202          -0.171963523263E-12       0.392668081369E-01      -0.395624351002E-14        298.000000000      
       0.783203125000E-02        1.14395516191           0.973544784555E-13       0.392668081368E-01      -0.377123062484E-14        298.000000000      
       0.787109375000E-02        1.14395516193          -0.159019410285E-12       0.392668081367E-01      -0.356997972759E-14        298.000000000      
       0.791015625000E-02        1.14395516181           0.176352985684E-13       0.392668081365E-01      -0.336120825773E-14        298.000000000      
       0.794921875000E-02        1.14395516181           0.659923521829E-12       0.392668081363E-01      -0.312958350497E-14        298.000000000      
       0.798828125000E-02        1.14395516167           0.746380559766E-13       0.392668081361E-01      -0.289864485420E-14        298.000000000      
